Name;System;Orientation;latitude;longitude;date;LocAcc;Species;Owner;Dataset-Name;TVT-split1;TVT-split2;TVT-split3;TVT-split4;TVT-split5
VegAnn_0.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_1.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_2.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_3.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_4.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_5.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_6.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_7.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_8.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_9.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_10.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_11.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_12.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_13.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_14.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_15.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_16.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_17.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_18.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_19.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_20.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_21.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_22.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_23.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
VegAnn_24.png;Handeld Cameras;Nadir;43.916686;4.879169;2019-06;1;Mix;Arvalis;Literal;Test;Training;Training;Training;Training
